ID,Disease,Description,Recomendation,Image,
0,Infeksi jamur,"Pada manusia, infeksi jamur terjadi ketika jamur yang menyerang mengambil alih area tubuh dan terlalu banyak untuk ditangani oleh sistem kekebalan. Jamur bisa hidup di udara, tanah, air, dan tumbuhan. Ada juga beberapa jamur yang hidup secara alami di dalam tubuh manusia. Seperti banyak mikroba, ada jamur bermanfaat dan jamur berbahaya.","Mandi minimal 2 kali dalam sehari, Gunakan dettol atau neem dalam air mandi, Jaga agar area yang terinfeksi tetap kering, Gunakan pakaian yang bersih","https://cms.sehatq.com/cdn-cgi/image/f=auto,width=480,fit=pad,background=white,quality=100/public/img/disease_img/infeksi-jamur-1600155768.jpg",
1,Alergi,"Alergi adalah respons sistem kekebalan terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda, termasuk makanan, serbuk sari, atau bulu hewan tertentu. Tugas sistem kekebalan Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.","Gunakan lotion calamine , Tutupi area alergi dengan perban, Gunakan es untuk mengompres gatal",https://cdn.idntimes.com/content-images/post/20200707/11-silent-signs-of-mono-9-15229d8daeebfc66e215c59ebefe0323_600x400.jpg,
2,GERD,"Penyakit gastroesophageal reflux, atau GERD, adalah gangguan pencernaan yang mempengaruhi sfingter esofagus bagian bawah (LES), cincin otot antara esofagus dan perut. Banyak orang, termasuk wanita hamil, menderita sakit maag atau gangguan pencernaan asam yang disebabkan oleh GERD.","Hindari makanan pedas berlemak, Hindari berbaring setelah makan, Jaga berat badan anda agar tetap sehat, Rutin berolahraga",https://images.bisnis-cdn.com/posts/2018/12/04/866196/gerd.jpg,
3,Kolestasis kronis,"Penyakit kolestatik kronis, baik yang terjadi pada masa bayi, masa kanak-kanak atau dewasa, ditandai dengan transportasi asam empedu yang rusak dari hati ke usus, yang disebabkan oleh kerusakan primer pada epitel empedu dalam banyak kasus.","Mandi dengan air dingin, Gunakan obat anti gatal, Konsultasikan dengan dokter, Makan makanan yang sehat",https://doktersehat.com/wp-content/uploads/2020/09/kolestasis-doktersehat.jpg,
4,Reaksi Obat,Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh minum obat. ADR dapat terjadi setelah dosis tunggal atau pemberian obat yang berkepanjangan atau akibat dari kombinasi dua obat atau lebih.,"Hentikan iritasi dengan mengompres dengan air dingin atau menggunakan pelembab kulit, Konsultasikan dengan rumah sakit terdekat, Berhenti minum obat yang sedang digunakan, Lakukan follow up apabila telah berobat ke dokter",https://1.bp.blogspot.com/-yxG-XF6t2oI/WM5E7CC_T3I/AAAAAAAADIY/Ohg3U4luEn4B9iffAUBUE4K4oZ87-ilXwCLcB/s1600/Mengenal-Beberapa-Penyebab-Alergi-Kulit1-300x200.jpg,
5,Penyakit tukak lambung,"Penyakit tukak lambung (PUD) adalah kerusakan pada lapisan dalam lambung, bagian pertama dari usus kecil, atau terkadang esofagus bagian bawah. Ulkus di lambung disebut tukak lambung, sedangkan di bagian pertama usus disebut tukak duodenum.","Hindari makanan pedas berlemak, Konsumsi makanan probiotik seperti yogurt dan tempe, Hindari untuk minum susu sementara, Batasi minuman beralkohol",https://asset.kompas.com/crops/w0pSqPD-ie5oby2IYKhBTvSZao0=/87x0:931x563/750x500/data/photo/2021/04/10/607184b711f0a.jpg,
6,AIDS,"Acquired immunodeficiency syndrome (AIDS) adalah kondisi kronis yang berpotensi mengancam nyawa yang disebabkan oleh human immunodeficiency virus (HIV). Dengan merusak sistem kekebalan Anda, HIV mengganggu kemampuan tubuh Anda untuk melawan infeksi dan penyakit.","Hindari untuk mendapatkan luka terbuka, Gunakan alat pelindung diri seperti masker dan sarung tangan jika memungkinkan, Konsultasikan dengan dokter, Lakukan follow up apabila telah berobat ke dokter",https://lh3.googleusercontent.com/proxy/jBXs79rdk_tTztJmoRRdvpiJqosjl4E2Sn4Dm_2lyiFurdcDsZxl7bNMagD48xsZajyyc3eJCWYB3GFxzcm_y_4a-tyCwuH8JojGoSNMw-O66y0reFQ,
7,Diabetes,"Diabetes adalah penyakit yang terjadi ketika glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke sel Anda untuk digunakan sebagai energi.","Lakukan diet seimbang, Rutin berolahraga, Konsultasikan dengan dokter, Lakukan follow up apabila telah berobat ke dokter",https://asset.kompas.com/crops/UhdSH3gKYq5MPDnSRh3h1HjL7no=/3x36:1000x535/750x500/data/photo/2020/04/13/5e9406fad418b.jpg,
8,Gastroenteritis,"Gastroenteritis adalah peradangan pada saluran pencernaan, terutama lambung, serta usus besar dan kecil. Gastroenteritis virus dan bakteri adalah infeksi usus yang berhubungan dengan gejala diare, kram perut, mual, dan muntah.","Berhenti makan makanan padat untuk sementara, Cobalah minum sedikit air, Lakukan istirahat, Jangan telat makan",https://d1bpj0tv6vfxyp.cloudfront.net/category-article/20200422074821.743_Gastroenteritis.jpg,
9,Asma bronkial,"Asma bronkial adalah suatu kondisi medis yang menyebabkan jalur saluran udara paru-paru membengkak dan menyempit. Akibat pembengkakan ini, jalur udara menghasilkan lendir berlebih sehingga sulit bernapas, yang mengakibatkan batuk, napas pendek, dan mengi. Penyakitnya kronis dan mengganggu pekerjaan sehari-hari.","Gunakan pakaian yang lebih longgar , Lakukan terapi dengan cara tarik napas dalam-dalam dan keluarkan, Menjauh dari pemicu penyebab asma seperti udara dingin, Cari bantuan",https://lh3.googleusercontent.com/proxy/_csLG-GRU6UUC3lKiZio1cFYMrQ-PZkCboF9ua4ZpzP-SGxSbZy90MWVqXnj3a3n3A-Dxoo3qZTW7BHzJ2_06XFJls9kWebeXPt6wB27hQ2_sQEBeM7HgSJbgaKNfQ9pzIzIqHjnt9QOhttps://images.bisnis-cdn.com/thumb/posts/2021/03/30/1374317/images-13_copy_800x500.jpeg?w=744&h=465,
10,Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menimbulkan gejala.","Lakukan meditasi, Gunakan campuran garam pada saat mandi, kurangi stress dengan kegiatan yang membuat anda bahagia, Usahakan selalu dapat tidur yang nyenyak",https://cdn1-production-images-kly.akamaized.net/cG3szLQGpj0LsjnplFqJIcy3ghQ=/640x360/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/1142554/original/093549400_1455531703-hypertension-1.jpg,
11,Migrain,"Migrain dapat menyebabkan nyeri berdenyut yang parah atau sensasi berdenyut, biasanya di satu sisi kepala. Kondisi ini sering kali disertai mual, muntah, dan kepekaan ekstrem terhadap cahaya dan suara. Serangan migrain bisa berlangsung berjam-jam hingga berhari-hari, dan rasa sakitnya bisa sangat parah sehingga mengganggu aktivitas sehari-hari Anda.","Lakukan meditasi, kurangi stress dengan kegiatan yang membuat anda bahagia, Gunakan kacamata polaroid di bawah sinar matahari, Konsultasikan dengan dokter",https://rsuppersahabatan.co.id/assets/cms/uploads/images/ARTIKEL/Artikel%20KSM%20Saraf%20RSUP%20Persahabatan%2C%20Kenali%20Beberapa%20Jenis%20Migrain.jpg,
12,Spondylosis serviks,"Spondylosis serviks adalah istilah umum untuk keausan terkait usia yang memengaruhi cakram tulang belakang di leher Anda. Saat cakram mengalami dehidrasi dan menyusut, tanda-tanda osteoartritis berkembang, termasuk tonjolan tulang di sepanjang tepi tulang (taji tulang).","Gunakan bantalan pemanas atau kompres dengan air dingin, Rutin berolahraga, Minum pereda nyeri, Konsultasikan dengan dokter",https://www.asiancancer.com/uploads/allimg/120722/1-20120H2101149B9.jpg,
13,Paralysis (pendarahan otak),"Perdarahan intraserebral (ICH) adalah ketika darah tiba-tiba meledak ke jaringan otak, menyebabkan kerusakan pada otak Anda. Gejala biasanya muncul tiba-tiba selama ICH. Mereka termasuk sakit kepala, kelemahan, kebingungan, dan kelumpuhan, terutama di satu sisi tubuh Anda.","Pijat pada bagian tubuh yang melemah, Makan makanan yang sehat, Rutin berolahraga, Konsultasikan dengan dokter",https://cdn.hellosehat.com/wp-content/uploads/2017/03/1202317shutterstock-124674862780x390.jpg,
