,Input Database,ID,Gejala (Inggris),Gejala (Indonesia),Penjelasan,Bentuk Pertanyaan,link gambar
0,x,0,itching,Gatal,"Gatal adalah sensasi iritasi yang membuat Anda ingin menggaruk kulit. Terkadang terasa seperti sakit, tetapi berbeda. Seringkali, Anda merasa gatal di satu area di tubuh Anda, tetapi terkadang Anda mungkin merasa gatal di seluruh tubuh.",Apakah anda merasakan gatal-gatal di salah satu bagian tubuh Anda yang bukan disebabkan oleh gigitan nyamuk?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5eV-2HDZvPa-45b4ImuS2CGca_UaAfx_sA8Q8PKilQMZCk886iB9i6lvXutPYItZD-wM&usqp=CAU
1,x,1,skin_rash,Ruam Kulit,Ruam kulit adalah perubahan pada kulit berupa noda kemerahan yang muncul ruam juga bisa terasa gatal atau seperti terbakar.,Apakah terdapat ruam di kulit anda?,https://d1bpj0tv6vfxyp.cloudfront.net/inijenisjenisruamkulitpadaorangdewasa-1.jpg
2,,2,nodal_skin_eruptions,Keratosis Pilaris,"Keratosis pilaris atau dikenal juga sebagai penyakit kulit ayam, adalah kondisi di mana permukaan kulit menjadi kasar dan muncul bentol-bentol kecil mirip jerawat. Umumnya keratosis pilaris tidak menimbulkan rasa nyeri atau gatal, serta bisa berwarna putih atau merah.",Apakah terdapat bentol-bentol kecil mirip jerawat di kulit anda yang tidak terasa gatal?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1547027722/attached_image/keratosis-pilaris-alodokter.jpg
3,x,3,continuous_sneezing,Bersin Terus Menerus,"Bersin terus-menerus umumnya merupakan tanda Anda sedang pilek atau flu. Namun apabila kondisi tubuh sedang fit dan Anda sering bersin, mungkin saja ada penyebab lain di balik gejala ini.",Apakah akhir-akhir ini anda sering bersin secara terus-menerus?,https://cms.sehatq.com/public/img/article_img/5-penyebab-bersin-terus-menerus-ini-mungkin-tak-anda-sadari-1572852385.jpg
4,x,4,shivering,Tremor,"Tremor adalah gerakan gemetar tidak terkendali yang terjadi secara berulang, tanpa disadari, dan terjadi di satu atau beberapa bagian tubuh. Tremor paling sering terlihat dan terjadi di tangan. Namun, gerakan gemetar ini juga bisa terjadi di bagian tubuh yang lain, seperti kaki atau kepala.","Apakah anda merasakan tremor yaitu gemetaran pada tangan, kaki ataupun kepala?",https://res.cloudinary.com/dk0z4ums3/image/upload/v1619164565/attached_image/tremor-0-alodokter.jpg
5,x,5,chills,Menggigil,Menggigil adalah kondisi pada perasaan dingin tanpa sebab yang jelas.,Apakah anda mengalami menggigil kedinginan meskipun berada dalam lingkungan yang hangat?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1599531751/attached_image/menggigil-0-alodokter.jpg
6,x,6,joint_pain,Nyeri Sendi,"Nyeri sendi adalah rasa sakit dan tidak nyaman pada sendi, yaitu jaringan yang menghubungkan dan membantu pergerakan antara dua tulang. Sendi terdapat di seluruh tubuh, termasuk bahu, pinggul, siku, lutut, jari-jari, rahang, dan leher.","Apakah anda saat ini mengalami nyeri sendri pada  bahu, pinggul, siku, lutut, jari-jari, rahang, atau leher ?",https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/topic_centers/2019-7/knee-pain-leg-patient-1296x728-header.jpg?w=1155&h=1528
7,x,7,stomach_pain,Sakit Perut,"Sakit pada bagian perut adalah rasa nyeri yang timbul di daerah perut, yaitu area di antara tulang iga dan tulang panggul. Saat mengalami sakit perut, seseorang mungkin akan merasakan kram, mulas atau rasa seperti menusus pada perut.",Apakah anda merasakan rasa sakit pada bagian perut?,https://virinchihospitals.com/wp-content/uploads/2019/02/stomachpain-1024x555.jpg
8,,8,acidity,Asam Lambung Naik,Asam lambung naik adalah gejala yang ditandai dengan rasa sakit disekitar lambung. Penyebab dari gejala bisa disebabkan oleh telat makan atau bahkan menjadi tanda suatu penyakit serius.,Apakah anda merasakan rasa sakit didaerah lambung anda?,https://sahyadrihospital.com/assets/images/blog/how-toprevent-acidity.jpg
9,,9,ulcers_on_tongue,Ulkus Lidah,"Bisul atau ulkus lidah adalah gejala yang ditandai dengan terdapatnya bagian pada lidah yang terasa sakit, bentuk dari bisul lidah ini menyerupai sariawan biasanya berbentuk bulat atau oval dan berwarna merah, kuning, putih atau bahkan abu-abu.",Apakah terdapat benjolan yang menyerupai bisul di lidah anda dan terasa sakit?,https://media.suara.com/pictures/653x366/2020/10/15/97282-ilustrasi-sariawan.jpg
10,,10,muscle_wasting,Kelemahan Otot,"Kelemahan Otot adalah gejala yang ditandai dengan merasa berkurangnya kekuatan dari otot saat beraktivitas, mudah lemas saat melakukan aktivitas fisik, dan juga mengecilnya ukuran otot,",Apakah akhir ini anda merasakan kelemahan pada otot anda pada saat beraktivitas fisik?,https://cdn-w.medlife.com/2019/02/muscle-wasting.jpg
11,,11,vomiting,Muntah-muntah,"Muntah adalah kondisi ketika isi lambung keluar secara paksa melalui mulut. Berbeda dari regurgitasi (keluarnya isi lambung tanpa kontraksi), muntah disertai kontraksi pada lambung dan otot perut. Muntah sendiri sebenarnya bukan suatu penyakit, tetapi gejala bahwa seseorang sedang mengalami gangguan kesehatan.",Apakah anda sering muntah pada akhir-akhir ini?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1600321756/attached_image/muntah-0-alodokter.jpg
12,,12,burning_micturition,Nyeri Saat Buang Air Kecil,Gejala ini timbul pada saat  buang air kecil anda merasakan sakit pada daerah disekitar kelamin anda.,Apakah anda merasakan nyeri pada daerah saluran kencing anda pada saat buang air kecil?,https://image-cdn.medkomtek.com/e74KAhSUjtUG5hOT5bT_TXtDIKc=/673x379/smart/klikdokter-media-buckets/medias/2316037/original/061975200_1593326014-Cara-Lain-Cegah-Infeksi-Saluran-Kemih-shutterstock_1099627817.jpg
13,,13,spotting_ urination,Urine Berbusa,Urine Berbusa adalah gejala yang ditandai pada saat urine yang anda keluarkan pada saat kencing terdapat buih busa. ,Apakah akhir akhir ini urine yang anda keluarkan pada saat kencing berbusa?,https://image-cdn.medkomtek.com/OPisOLNYVVj2FgOE6RGNiFp2b1U=/1200x675/smart/klikdokter-media-buckets/medias/2307866/original/057377700_1566807558-Air-Kencing-Berbusa-Gejala-Penyakit-Apa-By-Mirko-Maier-Shutterstock.jpg
14,,14,fatigue,Kelelahan,"Fatigue atau kelelahan adalah kondisi di mana Anda selalu merasa lelah, lesu, atau kurang tenaga. Kondisi ini tidak sama dengan sekadar merasa ngantuk. Fatigue adalah kondisi yang membuat Anda tidak memiliki motivasi dan energi. Mengantuk mungkin adalah gejala fatigue, tetapi kedua kondisi itu tidak sama. Fatigue adalah gejala umum dari banyak kondisi medis ringan sampai serius, bahkan berujung kematian. Kelelahan juga merupakan hasil alami dari beberapa gaya hidup, seperti kurang olahraga atau pola makan yang buruk. (Halosehat.com)","Apakah anda merasa lelah, lesu, atau kurang tenaga tanpa disebabkan oleh kegiatan fisik yang berat?",https://asset.kompas.com/crops/uFEmJFGbFe7trmzJVdTeshWl4es=/0x1:1000x668/750x500/data/photo/2019/09/05/5d7113f278e7a.jpg
15,,15,weight_gain,Kenaikan Berat Badan Secara Drastis,Kenaikan berat badan secara drastis adalah gejala dimana ketika anda tidak mengkonsumsi makanan yang berlebih namun mengalami kenaikan berat badan secara signifikan. Gejala ini dapat menjadi suatu tanda anda mengalami penyakit yang serius.,Apakah anda mengalami kenaikan berat badan secara drastis akhir-akhir ini?,https://akcdn.detik.net.id/visual/2018/10/24/ebc22862-9760-4f72-93d1-f11be2b1bafc_169.jpeg?w=650
16,,16,anxiety,Kecemasan Berlebihan,"Kecemasan berlebihan ini ditandai dengan terus merasa cemas tanpa sebab yang jelas. Orang yang mengalami kecemasan berlebihan kerap kali merasa khawatir dan takut yang berlebihan secara terus-menerus. Seiring berjalannya waktu, gangguan kecemasan ini bisa bertambah parah dan mengganggu kualitas hidup penderitanya.",Apakah anda sering merasa cemas tanpa sebab yang jelas?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1589276372/attached_image/kecemasan-berlebihan-kenali-gejala-serta-cara-efektif-mengatasinya-0-alodokter.jpg
17,,17,cold_hands_and_feets,Dingin pada Telapak Kaki dan Tangan,"Gejala Dingin pada telapak kaki dan Tangan ditandai dengan lebih dinginnya daerah tersebut dibanding bagian tubuh yang lain tanpa pemicu yang jelas ( contoh :lingkungan yang dingin), ",Apakah anda merasakan telapak kaki dan tangan anda lebih dingin ? ( bukan disebabkan oleh lingkungan dingin),https://res.cloudinary.com/dk0z4ums3/image/upload/v1506824104/attached_image/penyebab-telapak-kaki-dingin-dan-cara-mengatasinya-alodokter.jpg
18,,18,mood_swings,Mood Swing,"Mood swing adalah perubahan mood (suasana hati) yang jelas terasa atau terlihat. Pada dasarnya, perubahan mood dan emosi ini bisa saja terjadi sesekali dan hal ini tidak disebabkan oleh kelainan tertentu. (Alodokter)",Apakah anda sering mengalami perubahan mood dan emosi secara drastis ?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1599611067/attached_image/mood-swing-tidak-selamanya-normal-kenali-tanda-tandanya-0-alodokter.jpg
19,,19,weight_loss,Menurun Berat Badan Secara Drastis,Terjadinya penurunan berat badan secara drastis padahal tidak sedang diet atau melakukan usaha penurunan berat badan. Penurunan berat badan yang perlu diwaspadai adalah 5% dari berat awal,Apakah anda mengalami penurunan badan secara drastis dalam 6 bulan terakhir? (Bukan disebabkan oleh diet atau usaha melakukan penurunan berat badan),https://i2.wp.com/www.eatthis.com/wp-content/uploads/2020/11/weight-loss.jpg
20,,20,restlessness,Gelisah,"Gelisah adalah gejala yang ditandai dengan merasa khawatir, perasaan tidak tenang, depresi dan tegang.",Apakah anda merasa gelisah akhir-akhir ini?,https://cdns.klimg.com/merdeka.com/i/w/news/2017/11/27/913464/640x320/9-trik-simpel-menenangkan-diri-buat-kamu-yang-gampang-gelisah.jpg
21,,21,lethargy,Badan Lemas,Badan lemas adalah gejala yang ditandai dengan kurangnya semangat dalam beraktivitas dan mudah mengantuk disiang hari.,Apakah anda merasakan badan lemas akhir-akhir ini?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1535542381/attached_image/duh-badan-lemas-terus-menghampiri-kenali-penyebabnya-alodokter.jpg
22,,22,patches_in_throat,Bercak di Tenggorokan,Becak di tenggorokan ditandai dengan terdapat bercak berwarna putih yang berada di dinding atas mulut atau tenggorokan dan terasa sakit,Apakah terdapat bercak putih yang terasa sakit di dinding atas mulut atau daerah sekitar tenggorokan?,https://cdn-prod.medicalnewstoday.com/content/images/articles/323/323849/candidas-from-hiv-in-mouth-image-credit-cdc-sol-silverman-jr-dds-1999.jpg
23,,23,irregular_sugar_level,Kadar Gula Tidak Teratur,Kadar Gula yang tidak teratur adalah gejala yang ditandai dengan terjadinya perubahan gula darah secara fluktuatif atau signifikan dalam waktu yang dekat. Gejala ini biasanya timbul pada orang yang mengalami penyakit diabetes,Apakah kadar gula anda saat diperiksa mengalami perubahan yang sangat drastis dalam waktu dekat?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1589917001/attached_image/arti-tinggi-dan-rendahnya-kadar-gula-darah-dalam-tubuh.jpg
24,,24,cough,Batuk,"Batuk merupakan respons alami yang diberikan tubuh saat sistem pertahanan saluran napas mengalami gangguan dari luar. Melalui batuk, tubuh bisa membersihkan lendir atau faktor penyebab iritasi lainnya agar keluar dari paru-paru.(Halodoc)",Apakah anda sering batuk akhir-akhir ini?,https://d1bpj0tv6vfxyp.cloudfront.net/articles/c19f35bd-b12b-407c-bec7-927b7dccfa5f_category_image_url.webp
25,,25,high_fever,Demam Tinggi,Demam Tinggi adalah gejala yang timbul ditandai dengan meningkatnya suhu tubuh diatas 38C. Suhu tubuh yang meningkat adalah respon sistem kekebalan tubuh untuk memerangi infeksi.,Apakah anda mengalami demam yang ditandai dengan meningkatnya suhu tubuh?,https://d1bpj0tv6vfxyp.cloudfront.net/articles/ba64f6c7-eb39-4cc8-a50e-1a739f3f8897_category_image_url.webp
26,,26,sunken_eyes,Mata Sangat Cekung,Mata Cekung ditandai dengan terdapatnya lipatan berwarna hitam dibawah kelopak mata anda. Penyebab dari mata cekung bisa disebabkan karena kurang tidur namun terkadang gejala ini bisa menjadi gejala fisik untuk penyakit serius,Apakah anda saat ini memiliki kantung mata yang sangat cekung berwarna gelap?,https://images-prod.healthline.com/hlcmsresource/images/galleries/sunken-eyes/642x631_Slide_2_Sunken_Eyes.jpg
27,,27,breathlessness,Sesak Nafas,"Sesak nafas adalah gejala yang ditandai dengan sulitnya untuk bernafas. Rasa yang ditimbulkan pada saat sesak nafas diantaranya adalah rasa tertekan, berat dan sesak didada.",Apakah anda akhir-akhir ini mengalami sesak nafas?,https://www.lifebuoy.co.id/sk-eu/content/dam/brands/lifebuoy/indonesia/2083898-waspada--ini-gejala-sesak-napas-akibat-virus-corona.jpg.rendition.767.767.jpg
28,,28,sweating,Berkeringat Berlebih,"Berkeringat lebih banyak dan lebih sering tanpa sebab, termasuk telapak tangan sering basah, maka Anda perlu waspada. Banyak orang yang belum menyadari bahwa keringat berlebih ini mungkin butuh penanganan dan dapat berakibat serius.",Apakah anda sering berkeringat berlebih tanpa disebabkan oleh kegiatan berolahraga? Biasanya keringat muncul pada telapak tangan,https://cdn-2.tstatic.net/wartakota/foto/bank/images/20161018-keringat-badan-pusing_20161018_214324.jpg
29,,29,dehydration,Dehidrasi,"Dehidrasi ditandai dengan perasaan haus, mulut kering, dan urine menjadi pekat. ",Apakah akhir-akhir ini anda merasakan sering dehidrasi dan diikuti dengan gejala demam?,http://awalbros.com/wp-content/uploads/2019/02/asian-woman-with-sore-throat-thyroid-gland-against-gray-background_46527-279-300x200.jpg
30,,30,indigestion,Gangguan Pencernaan,"Gangguan pencernaan ditandai dengan terasa sakit di bagian perut, sering BAB dan badan terasa lemas.",Apakah anda mengalami gangguan pencernaan?,https://d1bpj0tv6vfxyp.cloudfront.net/articles/65eae774-e9e9-4aba-9c91-761165fd5691_category_image_url.webp
31,,31,headache,Sakit Kepala,"Sakit kepala adalah rasa sakit atau nyeri di kepala, yang bisa muncul secara bertahap atau mendadak. Nyeri bisa muncul di salah satu sisi kepala, atau di seluruh bagian kepala. Sakit kepala bisa membuat kepala terasa berdenyut, atau seperti terlilit kencang oleh tali.",Apakah anda saat ini merasakan sakit kepala?,https://asset.kompas.com/crops/21nEYOipzOiM9JNzUopq1LIFWHM=/0x0:933x622/750x500/data/photo/2021/01/26/600f04a30fbff.jpg
32,,32,yellowish_skin,Kulit Kuning,Kulit Kuning adalah gejala yang ditandai dengan berwarna kuningnya kulit daripada kulit normal pada biasanya. Gejala umumnya terjadi pada penderita hepatitis.,Apakah kulit anda berwarna lebih kuning?,https://d1bpj0tv6vfxyp.cloudfront.net/inilahbedanyapenyakitkuningprehepatikposthepatikdanintrahepatikhalodoc.jpg
33,,33,dark_urine,Urine Berwarna Gelap,Urine berwarna gelap dalah kondisi pada saat air kencing yang anda keluarkan memiliki warna lebih gelap daripada biasanya. Perubahan warna pada urine ini dapat menjadi pertanda anda memiliki penyakit.,Apakah urine yang anda keluarkan berwarna gelap?,https://awsimages.detik.net.id/community/media/visual/2018/07/27/115b4ff8-79fb-45fc-8943-14ce658cc2bd.jpeg?w=700&q=80
34,,34,nausea,Mual,Mual adalah perasaan ingin muntah dan tidak nyaman di perut. Mual terkadang dapat menjadi suatu gejala suatu penyakit tertentu.,Apakah anda merasakan mual akhir-akhir ini?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1601878066/attached_image/mual-0-alodokter.jpg
35,,35,loss_of_appetite,Kehilangan Nafsu Makan,"Tidak nafsu makan umumnya dialami oleh orang yang sedang sakit. Akan tetapi, penyebab kehilangan nafsu makan tak melulu karena sakit, melainkan bisa juga akibat efek samping obat-obatan, stres berlebihan, hingga kondisi medis tertentu.",Apakah anda merasakan kehilangan nafsu makan? ,https://asset.kompas.com/crops/J07hbfECO2-zZHSjkwdvFT6SzhY=/76x43:995x655/750x500/data/photo/2020/02/16/5e493e1ff2858.jpg
36,,36,pain_behind_the_eyes,Nyeri di Belakang Mata,Nyeri pada bagian belakang mata ini adalah gejala yang ditandai dengan rasa sakit pada saat anda menggerakan mata anda,Apakah anda merasakan nyeri di bekakang mata anda?,https://previews.123rf.com/images/milkos/milkos1904/milkos190402045/121163437-upset-woman-suffering-from-strong-eye-pain-healthcare-concept-panorama.jpg
37,,37,back_pain,Nyeri Punggung,"Nyeri punggung adalah gejala yang ditandai dengan rasa nyeri, tidak nyaman, atau kaku pada bagian punggung, lebih tepatnya di antara leher bagian belakang hingga pinggang",Apakah anda merasakan nyeri punggung ?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1608544485/attached_image/kenali-sakit-punggung-atas-agar-anda-dapat-menghindarinya-0-alodokter.jpg
38,,38,constipation,Sembelit,"Sembelit dikenal juga dengan istilah konstipasi. Istilah ini digunakan untuk menggambarkan gangguan atau masalah pada sistem pencernaan seseorang. Gangguan yang dimaksud adalah suatu kondisi ketika seseorang mengalami kesulitan saat melakukan Buang Air Besar (BAB), antara lain karena feses yang keras.",Apakah anda kesulitan untuk melakukan BAB akhir-akhir ini?,https://image-cdn.medkomtek.com/UNu4WHUUoVkK7IoOQAartsMkCb4=/673x373/smart/klikdokter-media-buckets/medias/2309539/original/077330300_1574674227-Diet-Keto-Menyebabkan-Sembelit-Bagaimana-Faktanya-By-Seasontime-Shutterstock_1358790887.jpg
39,,39,abdominal_pain,Sakit Bagian Ulu Hati,Sakit ulu hati ditandai dengan rasa nyeri di bagian tengah atas perut yang disertai mual atau perut kembung. Kondisi ini dapat disebabkan oleh masalah di beberapa organ tertentu,Apakah anda akhir-akhir ini sering merasakan sakit dibagian ulu hati?,https://cdn.hellosehat.com/2018/09/72463a67-shutterstock_1375967435.jpg
40,,40,diarrhoea,Diare,"Diare adalah penyakit yang membuat penderitanya menjadi sering buang air besar, dengan kondisi tinja yang encer",Apakah anda sedang mengalami diare?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1597738837/attached_image/diare-0-alodokter.jpg
41,,41,mild_fever,Demam Ringan,"Demam ringan adalah demam dengan suhu tubuh seseorang tidak melebihi 38,5 derajat celcius. Demam ini ditemukan tidak spesifik, tetapi muncul pada banyak penyakit, dari infeksi (contohnya infeksi virus) sampai penurunan imun sampai kanker. Kehadiran demam ringan dapat merupakan gejala dari penyakit lainnya.",Apakah anda saat ini sedang demam?,https://asset.kompas.com/crops/J-AbDb5AAQ5Q5xCnnrkggNjhyww=/17x61:985x545/750x500/data/photo/2018/04/17/3297147206.jpg
42,,42,yellow_urine,Urine Berwarna Kuning,Urine berwarna kuning adalah kondisi pada saat air kencing yang anda keluarkan memiliki warna lebih kuning daripada biasanya. Perubahan warna pada urine ini dapat menjadi pertanda anda memiliki penyakit.,Apakah urine yang anda keluarkan berwarna lebih kuning daripada biasanya?,https://awsimages.detik.net.id/community/media/visual/2018/07/27/115b4ff8-79fb-45fc-8943-14ce658cc2bd.jpeg?w=700&q=80
43,,43,yellowing_of_eyes,Mata Kuning,Mata Kuning adalah gejala menguningnya bagian bola mata daripada biasanya. Mata kuning ini mengindikasikan terdapat permasalahan pada tubuh. Mata kuning umumnya diakibatkan oleh gangguan pada hati.,Apakah bola mata anda berwarna kuning ?,https://asset.kompas.com/crops/h4mUcpS3buhraKhPZI99G0kAMts=/0x0:600x400/750x500/data/photo/2019/10/25/5db31f44d1200.jpg
44,,44,acute_liver_failure,Gagal Hati,"Gagal hati adalah gejala yang menyebabkan fungsi hati menjadi berkurang, tanda fisik yang ditimbulkan biasanya warna kulit kekuningan dan mata kuning. ",Apakah anda memiliki riwayat penyakit gagal hati? ataupun memiliki gejala gagal hati seperti kulit berwarna lebih kuning dan mata berwarna kuning?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1595850047/attached_image/gagal-hati-0-alodokter.jpg
45,,45,fluid_overload,kelebihan cairan,"Hipervolemia adalah kondisi di mana terdapat terlalu banyak cairan di dalam darah. Ini juga dikenal sebagai kelebihan cairan. Meskipun tubuh memang membutuhkan banyak cairan agar tetap sehat, terlalu banyak cairan dapat menyebabkan ketidakseimbangan yang berbahaya. Hipervolemia biasanya disebabkan oleh masalah kesehatan yang","Apakah terdapat pembengkakan yang terlihat (edema) di lengan, kaki, dan wajah Anda?",https://post.healthline.com/wp-content/uploads/2020/08/924-Hypervolemia-732x549-thumbnail.jpg
46,,46,swelling_of_stomach,Asites (Pembengkakan Perut),Ascites atau asites adalah penumpukan cairan di dalam rongga antara selaput yang melapisi dinding perut dan organ dalam tubuh. Rongga ini disebut rongga peritoneal. Penumpukan cairan di rongga peritoneal akan menyebabkan perut membesar,Apakah terdapat pembengkakan pada perut anda disertai dengan rasa nyeri?,https://cdn.hepatitisc.uw.edu/doc/136-1/preferred-paracentesis-site.jpg
