,Desease,Symptoms
1,itching,"Fungal infection, Chronic cholestasis, Drug Reaction, Jaundice, Chicken pox, Hepatitis B"
2,skin_rash,"Fungal infection, Drug Reaction, Chicken pox, Dengue, Acne, Psoriasis, Impetigo"
3,nodal_skin_eruptions,Fungal infection
4,continuous_sneezing,"Allergy, Common Cold"
5,shivering,Allergy
6,chills,"Allergy, Malaria, Dengue, Typhoid, Tuberculosis, Common Cold, Pneumonia"
7,joint_pain,"Dengue, hepatitis A, Hepatitis D, Hepatitis E, Osteoarthristis, Psoriasis"
8,stomach_pain,"GERD, Drug Reaction"
9,acidity,"GERD, Migraine"
10,ulcers_on_tongue,GERD
11,muscle_wasting,AIDS
12,vomiting,"GERD, Chronic cholestasis, Peptic ulcer diseae, Gastroenteritis, Paralysis (brain hemorrhage), Jaundice, Malaria, Dengue, Typhoid, hepatitis A, Hepatitis D, Hepatitis E, Alcoholic hepatitis, Tuberculosis, Heart attack, Hypoglycemia, (vertigo) Paroymsal  Positional Vertigo"
13,burning_micturition,"Drug Reaction, Urinary tract infection"
14,spotting_ urination,Drug Reaction
15,fatigue,"Diabetes , Bronchial Asthma, Jaundice, Chicken pox, Dengue, Typhoid, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Tuberculosis, Common Cold, Pneumonia, Varicose veins, Hypothyroidism, Hyperthyroidism, Hypoglycemia"
16,weight_gain,Hypothyroidism
17,anxiety,Hypoglycemia
18,cold_hands_and_feets,Hypothyroidism
19,mood_swings,"Hypothyroidism, Hyperthyroidism"
20,weight_loss,"Diabetes , Jaundice, Tuberculosis, Hyperthyroidism"
21,restlessness,"Diabetes , Hyperthyroidism"
22,lethargy,"Diabetes , Chicken pox, Hepatitis B, Hypothyroidism"
23,patches_in_throat,AIDS
24,irregular_sugar_level,Diabetes 
25,cough,"GERD, Bronchial Asthma, Tuberculosis, Common Cold, Pneumonia"
26,high_fever,"AIDS, Bronchial Asthma, Jaundice, Malaria, Chicken pox, Dengue, Typhoid, Hepatitis E, Tuberculosis, Common Cold, Pneumonia, Impetigo"
27,sunken_eyes,Gastroenteritis
28,breathlessness,"Bronchial Asthma, Tuberculosis, Pneumonia, Heart attack"
29,sweating,"Malaria, Tuberculosis, Pneumonia, Heart attack, Hyperthyroidism, Hypoglycemia"
30,dehydration,Gastroenteritis
31,indigestion,"Peptic ulcer diseae, Migraine"
32,headache,"Hypertension , Migraine, Paralysis (brain hemorrhage), Malaria, Chicken pox, Dengue, Typhoid, Common Cold, Hypoglycemia, (vertigo) Paroymsal  Positional Vertigo"
33,yellowish_skin,"Chronic cholestasis, Jaundice, hepatitis A, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Alcoholic hepatitis"
34,dark_urine,"Jaundice, hepatitis A, Hepatitis B, Hepatitis D, Hepatitis E"
35,nausea,"Chronic cholestasis, Malaria, Dengue, Typhoid, hepatitis A, Hepatitis C, Hepatitis D, Hepatitis E, Hypoglycemia, (vertigo) Paroymsal  Positional Vertigo"
36,loss_of_appetite,"Chronic cholestasis, Peptic ulcer diseae, Chicken pox, Dengue, hepatitis A, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Tuberculosis"
37,pain_behind_the_eyes,Dengue
38,back_pain,"Cervical spondylosis, Dengue"
39,constipation,"Typhoid, Dimorphic hemmorhoids(piles)"
40,abdominal_pain,"Chronic cholestasis, Peptic ulcer diseae, Jaundice, Typhoid, hepatitis A, Hepatitis B, Hepatitis D, Hepatitis E, Alcoholic hepatitis"
41,diarrhoea,"Gastroenteritis, Malaria, Typhoid, hepatitis A, Hyperthyroidism"
42,mild_fever,"Chicken pox, hepatitis A, Tuberculosis"
43,yellow_urine,Hepatitis B
44,yellowing_of_eyes,"Chronic cholestasis, hepatitis A, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Tuberculosis"
45,acute_liver_failure,Hepatitis E
46,fluid_overload,
47,swelling_of_stomach,Alcoholic hepatitis
48,swelled_lymph_nodes,"Chicken pox, Tuberculosis, Common Cold"
49,malaise,"Chicken pox, Dengue, Hepatitis B, Tuberculosis, Common Cold, Pneumonia"
50,blurred_and_distorted_vision,"Diabetes , Migraine, Hypoglycemia"
51,phlegm,"Tuberculosis, Common Cold, Pneumonia"
52,throat_irritation,Common Cold
53,redness_of_eyes,Common Cold
54,sinus_pressure,Common Cold
55,runny_nose,Common Cold
56,congestion,Common Cold
57,chest_pain,"GERD, Hypertension , Tuberculosis, Common Cold, Pneumonia, Heart attack"
58,weakness_in_limbs,Cervical spondylosis
