,Symptoms,Desease,symptoms_id,desease_id
0,itching,"Fungal infection, Chronic cholestasis, Drug Reaction, Jaundice, Chicken pox, Hepatitis B",0,"[0, 3, 4, 14, 16, 20]"
1,skin_rash,"Fungal infection, Drug Reaction, Chicken pox, Dengue, Acne, Psoriasis, Impetigo",1,"[0, 4, 16, 17, 37, 39, 40]"
2,nodal_skin_eruptions,Fungal infection,2,[0]
3,continuous_sneezing,"Allergy, Common Cold",3,"[1, 26]"
4,shivering,Allergy,4,[1]
5,chills,"Allergy, Malaria, Dengue, Typhoid, Tuberculosis, Common Cold, Pneumonia",5,"[1, 15, 17, 18, 25, 26, 27]"
6,joint_pain,"Dengue, hepatitis A, Hepatitis D, Hepatitis E, Osteoarthristis, Psoriasis",6,"[17, 19, 22, 23, 34, 39]"
7,stomach_pain,"GERD, Drug Reaction",7,"[2, 4]"
8,acidity,"GERD, Migraine",8,"[2, 11]"
9,ulcers_on_tongue,GERD,9,[2]
10,muscle_wasting,AIDS,10,[6]
11,vomiting,"GERD, Chronic cholestasis, Peptic ulcer diseae, Gastroenteritis, Paralysis (brain hemorrhage), Jaundice, Malaria, Dengue, Typhoid, hepatitis A, Hepatitis D, Hepatitis E, Alcoholic hepatitis, Tuberculosis, Heart attack, Hypoglycemia, (vertigo) Paroymsal  Positional Vertigo",11,"[2, 3, 5, 8, 13, 14, 15, 17, 18, 19, 22, 23, 24, 25, 29, 33, 36]"
12,burning_micturition,"Drug Reaction, Urinary tract infection",12,"[4, 38]"
13,spotting_ urination,Drug Reaction,13,[4]
14,fatigue,"Diabetes , Bronchial Asthma, Jaundice, Chicken pox, Dengue, Typhoid, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Tuberculosis, Common Cold, Pneumonia, Varicose veins, Hypothyroidism, Hyperthyroidism, Hypoglycemia",14,"[7, 9, 14, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 30, 31, 32, 33]"
15,weight_gain,Hypothyroidism,15,[31]
16,anxiety,Hypoglycemia,16,[33]
17,cold_hands_and_feets,Hypothyroidism,17,[31]
18,mood_swings,"Hypothyroidism, Hyperthyroidism",18,"[31, 32]"
19,weight_loss,"Diabetes , Jaundice, Tuberculosis, Hyperthyroidism",19,"[7, 14, 25, 32]"
20,restlessness,"Diabetes , Hyperthyroidism",20,"[7, 32]"
21,lethargy,"Diabetes , Chicken pox, Hepatitis B, Hypothyroidism",21,"[7, 16, 20, 31]"
22,patches_in_throat,AIDS,22,[6]
23,irregular_sugar_level,Diabetes ,23,[7]
24,cough,"GERD, Bronchial Asthma, Tuberculosis, Common Cold, Pneumonia",24,"[2, 9, 25, 26, 27]"
25,high_fever,"AIDS, Bronchial Asthma, Jaundice, Malaria, Chicken pox, Dengue, Typhoid, Hepatitis E, Tuberculosis, Common Cold, Pneumonia, Impetigo",25,"[6, 9, 14, 15, 16, 17, 18, 23, 25, 26, 27, 40]"
26,sunken_eyes,Gastroenteritis,26,[8]
27,breathlessness,"Bronchial Asthma, Tuberculosis, Pneumonia, Heart attack",27,"[9, 25, 27, 29]"
28,sweating,"Malaria, Tuberculosis, Pneumonia, Heart attack, Hyperthyroidism, Hypoglycemia",28,"[15, 25, 27, 29, 32, 33]"
